词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
うち	⓪②	名	うち	家，家庭，自己家（家人）	家	うちへ帰る	回家	1	名词·人物职业
おじ	⓪	名	おじ	（伯父）父母的哥哥；（叔父）父母的弟弟	伯父・叔父	おじは銀行につとめています	叔叔在银行上班	1	名词·人物职业
おじいさん	②	名	おじいさん	祖父；外公；对年长男性的昵称	お祖父さん・お爺さん	おじいさんは元気ですか？	爷爷，你好吗？	1	名词·人物职业
おじさん	⓪	名	おじさん	叔叔，伯伯；对其他成年男性的昵称	伯父さん・叔父さん	昨日おじさんに会いました	昨天我见了叔叔	1	名词·人物职业
おば	⓪	名	おば	（伯母）父母的姐姐；（叔母）父母的妹妹	伯母・叔母	おばは大阪に住んでいます	阿姨住在大阪	1	名词·人物职业
おばあさん	②	名	おばあさん	祖母；外婆；对年长女性的昵称		あなたのおばあさんはお元気ですか	您的祖母身体好吗？	1	名词·人物职业
おばさん	⓪	名	おばさん	婶婶，阿姨；对其他成年女性的昵称	伯母さん・叔母さん	おばさん一家が遊びに来ました	阿姨一家人来玩了	1	名词·人物职业
お兄さん	②	名	おにいさん	哥哥；对年轻男子的称呼		あなたのお兄さんは何歳？	你的哥哥几岁？	1	名词·人物职业
お姉さん	②	名	おねえさん	姐姐；对年轻女子的称呼		昨日、あなたのお姉さんに会ったよ	昨天我见到你姐姐了	1	名词·人物职业
お母さん	②	名	おかあさん	妈妈，母亲		彼女はもうお母さんになったよ	她已经做母亲了	1	名词·人物职业
お父さん	②	名	おとうさん	爸爸；父亲		お父さんは会社員です	爸爸是公司职员	1	名词·人物职业
医者	⓪	名	いしゃ	医生		私は医者に相談した	我咨询了医生	1	名词·人物职业
奥さん	①	名	おくさん	您妻子，夫人，太太		昨日、君の奥さんに会ったよ	昨天我见到你太太了	1	名词·人物职业
家族	①	名	かぞく	家族，家属		何人家族ですか	你们家有几口人？	1	名词·人物职业
課長	⓪	名	かちょう	课长，处长		課長に昇進する	晋升为课长	1	名词·人物职业
